,Alabama,,,,Alaska,,,,Arizona,,,,Arkansas,,,,California,,,,Colorado,,,,Connecticut,,,,Delaware,,,,District of Columbia,,,,Florida,,,,Georgia,,,,Hawaii,,,,Idaho,,,,Illinois,,,,Indiana,,,,Iowa,,,,Kansas,,,,Kentucky,,,,Louisiana,,,,Maine,,,,Maryland,,,,Massachusetts,,,,Michigan,,,,Minnesota,,,,Mississippi,,,,Missouri,,,,Montana,,,,Nebraska,,,,Nevada,,,,New Hampshire,,,,New Jersey,,,,New Mexico,,,,New York,,,,North Carolina,,,,North Dakota,,,,Ohio,,,,Oklahoma,,,,Oregon,,,,Pennsylvania,,,,Rhode Island,,,,South Carolina,,,,South Dakota,,,,Tennessee,,,,Texas,,,,Utah,,,,Vermont,,,,Virginia,,,,Washington,,,,West Virginia,,,,Wisconsin,,,,Wyoming,,,,Puerto Rico,,,
Cuban,"6,998",±979,0.1%,±0.1,"2,088",±590,0.3%,±0.1,"18,063","±1,716",0.3%,±0.1,"2,755",±650,0.1%,±0.1,"108,567","±4,699",0.3%,±0.1,"13,393","±1,470",0.2%,±0.1,"14,015","±1,447",0.4%,±0.1,"1,252",±381,0.1%,±0.1,"3,182",±651,0.5%,±0.1,"1,534,465","±16,032",7.2%,±0.1,"37,752","±2,676",0.4%,±0.1,"1,919",±594,0.1%,±0.1,"1,250",±531,0.1%,±0.1,"28,637","±2,249",0.2%,±0.1,"6,631",±777,0.1%,±0.1,"2,890",±469,0.1%,±0.1,"4,189",±636,0.1%,±0.1,"20,284","±1,712",0.5%,±0.1,"12,231","±1,358",0.3%,±0.1,"1,327",±308,0.1%,±0.1,"14,821","±1,534",0.2%,±0.1,"16,354","±1,451",0.2%,±0.1,"15,142","±1,346",0.2%,±0.1,"6,703",±984,0.1%,±0.1,"3,207","±1,336",0.1%,±0.1,"7,670",±970,0.1%,±0.1,866,±351,0.1%,±0.1,"5,395",±848,0.3%,±0.1,"34,862","±2,754",1.1%,±0.1,"2,302",±460,0.2%,±0.1,"97,261","±3,983",1.1%,±0.1,"5,206",±856,0.2%,±0.1,"82,308","±3,722",0.4%,±0.1,"29,624","±2,186",0.3%,±0.1,278,±137,0.0%,±0.1,"10,859","±1,053",0.1%,±0.1,"3,335",±657,0.1%,±0.1,"8,142","±1,156",0.2%,±0.1,"24,878","±1,651",0.2%,±0.1,"2,020",±462,0.2%,±0.1,"10,534","±1,590",0.2%,±0.1,754,±252,0.1%,±0.1,"13,799","±1,399",0.2%,±0.1,"104,081","±4,903",0.4%,±0.1,"3,830",±758,0.1%,±0.1,792,±208,0.1%,±0.1,"22,602","±1,832",0.3%,±0.1,"11,637","±1,077",0.2%,±0.1,"1,238",±306,0.1%,±0.1,"6,571",±772,0.1%,±0.1,220,±128,0.0%,±0.1,"12,216","±1,025",0.4%,±0.1
Other Hispanic or Latino,"61,933","±3,020",1.2%,±0.1,"15,943","±1,302",2.2%,±0.2,"225,499","±6,967",3.2%,±0.1,"56,343","±2,979",1.9%,±0.1,"2,508,297","±19,647",6.4%,±0.1,"297,690","±6,329",5.2%,±0.1,"234,265","±5,761",6.5%,±0.2,"30,062","±1,744",3.1%,±0.2,"54,495","±1,742",8.0%,±0.3,"2,147,662","±17,145",10.1%,±0.1,"329,182","±8,929",3.1%,±0.1,"52,698","±2,334",3.6%,±0.2,"32,624","±2,224",1.8%,±0.1,"263,455","±7,177",2.1%,±0.1,"92,006","±3,814",1.4%,±0.1,"37,740","±2,213",1.2%,±0.1,"51,425","±2,581",1.8%,±0.1,"43,917","±2,064",1.0%,±0.1,"136,363","±3,062",2.9%,±0.1,"9,660",±791,0.7%,±0.1,"471,811","±5,147",7.7%,±0.1,"466,671","±6,631",6.7%,±0.1,"93,860","±3,949",0.9%,±0.1,"88,581","±2,985",1.6%,±0.1,"27,922","±1,884",0.9%,±0.1,"67,552","±2,774",1.1%,±0.1,"11,199","±1,094",1.0%,±0.1,"50,912","±2,685",2.6%,±0.1,"162,802","±5,189",5.3%,±0.2,"25,071","±1,483",1.8%,±0.1,"1,120,632","±9,126",12.1%,±0.1,"347,933","±6,520",16.5%,±0.3,"2,218,132","±14,012",11.0%,±0.1,"323,826","±7,320",3.1%,±0.1,"8,079",±831,1.0%,±0.1,"119,468","±3,326",1.0%,±0.1,"73,091","±3,331",1.9%,±0.1,"90,579","±4,215",2.2%,±0.1,"351,454","±7,786",2.7%,±0.1,"117,945","±2,947",10.8%,±0.3,"101,670","±3,378",2.0%,±0.1,"12,172","±1,075",1.4%,±0.1,"119,222","±4,468",1.7%,±0.1,"1,541,825","±24,364",5.3%,±0.1,"122,522","±4,615",3.8%,±0.1,"6,351",±486,1.0%,±0.1,"519,177","±5,771",6.0%,±0.1,"174,054","±5,398",2.3%,±0.1,"11,988",±979,0.7%,±0.1,"56,426","±2,832",1.0%,±0.1,"12,456","±1,303",2.2%,±0.2,"86,351","±3,148",2.6%,±0.1
Not Hispanic or Latino,"4,773,016",±413,95.5%,±0.1,"682,347",±171,92.7%,±0.1,"4,821,774",*****,68.1%,*****,"2,770,308",±293,92.1%,±0.1,"23,861,566",*****,60.5%,*****,"4,468,540",±179,78.1%,±0.1,"2,995,265",*****,83.1%,*****,"886,614",*****,90.3%,*****,"606,172",*****,88.7%,*****,"15,746,672",*****,73.8%,*****,"9,577,141",±603,90.1%,±0.1,"1,294,757",*****,89.1%,*****,"1,577,056",*****,87.1%,*****,"10,571,737",±213,82.5%,±0.1,"6,256,932",±210,92.7%,±0.1,"2,976,042",±53,93.6%,±0.1,"2,570,046",±77,87.7%,±0.1,"4,319,782",±525,96.1%,±0.1,"4,408,523",±334,94.7%,±0.1,"1,332,520",*****,98.2%,*****,"5,498,188",*****,89.4%,*****,"6,127,650",*****,87.6%,*****,"9,522,476",±73,94.6%,±0.1,"5,350,644",±45,94.4%,±0.1,"2,871,380","±1,417",96.8%,±0.1,"5,869,968",±231,95.6%,±0.1,"1,034,101",±145,95.9%,±0.1,"1,726,787",±153,88.5%,±0.1,"2,161,823",*****,70.7%,*****,"1,316,260",*****,95.9%,*****,"7,309,521",*****,79.2%,*****,"1,062,955",*****,50.4%,*****,"16,242,992",*****,80.8%,*****,"9,350,292",±156,90.2%,±0.1,"741,418",±97,95.9%,±0.1,"11,289,576",±247,95.9%,±0.1,"3,504,222",*****,88.8%,*****,"3,636,666",*****,86.4%,*****,"11,947,595",±119,92.1%,±0.1,"913,276",*****,83.6%,*****,"4,772,673",±56,94.0%,±0.1,"844,167",±251,95.7%,±0.1,"6,463,530",±354,94.2%,±0.1,"17,382,649",*****,60.2%,*****,"2,765,538",±138,85.6%,±0.1,"628,269",*****,97.9%,*****,"7,742,231",±343,90.2%,±0.1,"6,609,483",±45,86.8%,±0.1,"1,770,853",±423,98.3%,±0.1,"5,447,063",*****,92.8%,*****,"517,456",±167,89.7%,±0.1,"40,913","±2,107",1.2%,±0.1
White alone,"3,241,003","±2,076",64.9%,±0.1,"434,515","±1,067",59.0%,±0.1,"3,781,665","±2,215",53.4%,±0.1,"2,123,715","±3,320",70.6%,±0.1,"14,109,297","±5,975",35.8%,±0.1,"3,821,828","±3,473",66.8%,±0.1,"2,340,848","±2,312",64.9%,±0.1,"597,040","±1,289",60.8%,±0.1,"250,396","±1,021",36.7%,±0.1,"11,217,187","±6,173",52.6%,±0.1,"5,462,673","±4,618",51.4%,±0.1,"310,216",±698,21.3%,±0.1,"1,459,942","±2,227",80.6%,±0.1,"7,721,282","±2,623",60.2%,±0.1,"5,255,601","±2,523",77.8%,±0.1,"2,681,793","±1,559",84.4%,±0.1,"2,192,497","±1,823",74.8%,±0.1,"3,759,079","±2,121",83.6%,±0.1,"2,693,832","±2,308",57.8%,±0.1,"1,248,581","±1,895",92.0%,±0.1,"3,035,807","±2,727",49.4%,±0.1,"4,871,674","±4,812",69.7%,±0.1,"7,448,438","±2,952",74.0%,±0.1,"4,441,935","±2,343",78.3%,±0.1,"1,661,874","±1,338",56.0%,±0.1,"4,800,763","±3,283",78.2%,±0.1,"916,991","±1,093",85.1%,±0.1,"1,515,645",±978,77.7%,±0.1,"1,442,883","±2,401",47.2%,±0.1,"1,220,505","±1,545",88.9%,±0.1,"4,966,842","±2,966",53.8%,±0.1,"759,917","±1,552",36.0%,±0.1,"10,993,176","±4,267",54.7%,±0.1,"6,433,921","±3,467",62.1%,±0.1,"642,956",±808,83.1%,±0.1,"9,152,826","±3,566",77.8%,±0.1,"2,533,380","±1,776",64.2%,±0.1,"3,116,280","±2,539",74.1%,±0.1,"9,734,303","±3,901",75.0%,±0.1,"770,700","±1,249",70.6%,±0.1,"3,206,780","±2,106",63.1%,±0.1,"712,735",±653,80.8%,±0.1,"5,002,855","±2,903",72.9%,±0.1,"11,745,032","±5,311",40.7%,±0.1,"2,497,463","±1,938",77.3%,±0.1,"589,575",±546,91.9%,±0.1,"5,200,759","±2,503",60.6%,±0.1,"5,063,850","±3,214",66.5%,±0.1,"1,643,042","±1,359",91.2%,±0.1,"4,705,965","±2,585",80.1%,±0.1,"478,508",±959,83.0%,±0.2,"28,414","±1,944",0.9%,±0.1
Black or African American alone,"1,316,314","±3,018",26.3%,±0.1,"22,787",±769,3.1%,±0.1,"299,877","±3,901",4.2%,±0.1,"455,748","±2,142",15.2%,±0.1,"2,128,184","±8,287",5.4%,±0.1,"222,572","±2,646",3.9%,±0.1,"359,156","±2,790",10.0%,±0.1,"211,387","±1,769",21.5%,±0.2,"299,716","±1,538",43.9%,±0.2,"3,223,893","±8,357",15.1%,±0.1,"3,309,398","±6,215",31.1%,±0.1,"26,521",±919,1.8%,±0.1,"11,392",±835,0.6%,±0.1,"1,773,138","±4,809",13.8%,±0.1,"625,756","±3,947",9.3%,±0.1,"116,206","±1,925",3.7%,±0.1,"159,382","±1,972",5.4%,±0.1,"356,610","±2,801",7.9%,±0.1,"1,475,549","±3,820",31.7%,±0.1,"18,834",±841,1.4%,±0.1,"1,806,220","±4,520",29.4%,±0.1,"467,943","±3,769",6.7%,±0.1,"1,351,051","±5,225",13.4%,±0.1,"371,249","±3,246",6.5%,±0.1,"1,109,577","±2,821",37.4%,±0.1,"689,839","±2,942",11.2%,±0.1,"5,339",±417,0.5%,±0.1,"91,326","±1,661",4.7%,±0.1,"273,070","±2,632",8.9%,±0.1,"18,705",±973,1.4%,±0.1,"1,158,820","±3,814",12.5%,±0.1,"37,848",±896,1.8%,±0.1,"2,797,225","±7,126",13.9%,±0.1,"2,160,554","±5,534",20.8%,±0.1,"23,887",±789,3.1%,±0.1,"1,432,646","±5,112",12.2%,±0.1,"278,454","±2,714",7.1%,±0.1,"74,010","±2,045",1.8%,±0.1,"1,360,025","±4,994",10.5%,±0.1,"59,203","±1,993",5.4%,±0.2,"1,319,130","±3,625",26.0%,±0.1,"18,736",±788,2.1%,±0.1,"1,120,548","±3,193",16.3%,±0.1,"3,401,742","±9,344",11.8%,±0.1,"35,281","±1,212",1.1%,±0.1,"7,643",±434,1.2%,±0.1,"1,601,041","±4,556",18.7%,±0.1,"283,174","±3,814",3.7%,±0.1,"60,339","±1,384",3.4%,±0.1,"364,446","±2,668",6.2%,±0.1,"4,811",±544,0.8%,±0.1,"3,698",±565,0.1%,±0.1
American Indian and Alaska Native alone,"17,417",±941,0.3%,±0.1,"104,399","±1,705",14.2%,±0.2,"256,947","±2,441",3.6%,±0.1,"13,665",±767,0.5%,±0.1,"124,341","±2,631",0.3%,±0.1,"26,070","±1,038",0.5%,±0.1,"4,225",±586,0.1%,±0.1,"2,084",±260,0.2%,±0.1,"1,003",±180,0.1%,±0.1,"31,002","±1,440",0.1%,±0.1,"13,866",±998,0.1%,±0.1,"2,326",±324,0.2%,±0.1,"17,174",±740,0.9%,±0.1,"10,358",±752,0.1%,±0.1,"6,863",±578,0.1%,±0.1,"7,337",±377,0.2%,±0.1,"15,363",±735,0.5%,±0.1,"4,877",±518,0.1%,±0.1,"21,492",±976,0.5%,±0.1,"6,953",±426,0.5%,±0.1,"9,657",±654,0.2%,±0.1,"7,977",±689,0.1%,±0.1,"39,462","±1,281",0.4%,±0.1,"46,371","±1,056",0.8%,±0.1,"11,587",±482,0.4%,±0.1,"15,275",±823,0.2%,±0.1,"62,967","±1,142",5.8%,±0.1,"13,017",±655,0.7%,±0.1,"23,229",±839,0.8%,±0.1,"1,452",±253,0.1%,±0.1,"8,873",±750,0.1%,±0.1,"180,121","±1,841",8.5%,±0.1,"40,379","±1,461",0.2%,±0.1,"98,911","±1,225",1.0%,±0.1,"37,016",±882,4.8%,±0.1,"11,239",±726,0.1%,±0.1,"285,097","±2,630",7.2%,±0.1,"32,890","±1,378",0.8%,±0.1,"9,708",±698,0.1%,±0.1,"2,968",±447,0.3%,±0.1,"11,355",±762,0.2%,±0.1,"70,363","±1,221",8.0%,±0.1,"10,292",±757,0.2%,±0.1,"55,658","±1,696",0.2%,±0.1,"26,012",±948,0.8%,±0.1,"1,152",±220,0.2%,±0.1,"13,983",±785,0.2%,±0.1,"69,496","±1,854",0.9%,±0.1,"1,786",±318,0.1%,±0.1,"39,457",±840,0.7%,±0.1,"11,330",±458,2.0%,±0.1,124,±89,0.0%,±0.1
Asian alone,"69,331","±1,559",1.4%,±0.1,"46,455","±1,038",6.3%,±0.1,"228,292","±2,613",3.2%,±0.1,"45,575","±1,049",1.5%,±0.1,"5,802,086","±9,928",14.7%,±0.1,"180,192","±1,956",3.1%,±0.1,"165,872","±1,740",4.6%,±0.1,"39,398",±672,4.0%,±0.1,"27,522",±655,4.0%,±0.1,"585,096","±3,844",2.7%,±0.1,"444,677","±2,564",4.2%,±0.1,"534,056","±4,254",36.7%,±0.3,"23,902","±1,249",1.3%,±0.1,"718,559","±3,656",5.6%,±0.1,"162,123","±2,234",2.4%,±0.1,"78,532","±1,192",2.5%,±0.1,"86,670","±1,547",3.0%,±0.1,"68,112","±1,239",1.5%,±0.1,"79,562","±1,293",1.7%,±0.1,"14,789",±767,1.1%,±0.1,"394,720","±2,648",6.4%,±0.1,"477,667","±2,787",6.8%,±0.1,"319,960","±2,378",3.2%,±0.1,"281,572","±2,242",5.0%,±0.1,"28,758",±986,1.0%,±0.1,"122,395","±1,904",2.0%,±0.1,"8,802",±542,0.8%,±0.1,"47,885",±990,2.5%,±0.1,"249,400","±2,839",8.2%,±0.1,"36,507",±937,2.7%,±0.1,"894,646","±3,001",9.7%,±0.1,"31,382",±931,1.5%,±0.1,"1,723,110","±5,400",8.6%,±0.1,"312,111","±2,270",3.0%,±0.1,"12,231",±587,1.6%,±0.1,"274,662","±2,974",2.3%,±0.1,"87,388","±1,322",2.2%,±0.1,"184,235","±2,147",4.4%,±0.1,"457,712","±3,145",3.5%,±0.1,"37,153",±891,3.4%,±0.1,"82,488","±1,605",1.6%,±0.1,"12,579",±602,1.4%,±0.1,"124,495","±1,898",1.8%,±0.1,"1,433,683","±5,152",5.0%,±0.1,"74,090","±1,649",2.3%,±0.1,"10,630",±752,1.7%,±0.1,"573,860","±3,129",6.7%,±0.1,"675,966","±4,488",8.9%,±0.1,"13,763",±732,0.8%,±0.1,"165,139","±1,934",2.8%,±0.1,"4,907",±409,0.9%,±0.1,"2,316",±685,0.1%,±0.1
Native Hawaiian and Other Pacific Islander alone,"1,594",±376,0.0%,±0.1,"10,500",±396,1.4%,±0.1,"12,623",±610,0.2%,±0.1,"10,408",±569,0.3%,±0.1,"134,692","±2,100",0.3%,±0.1,"7,357",±661,0.1%,±0.1,761,±197,0.0%,±0.1,299,±65,0.0%,±0.1,297,±59,0.0%,±0.1,"10,749",±796,0.1%,±0.1,"5,254",±758,0.0%,±0.1,"142,973","±2,028",9.8%,±0.1,"2,519",±397,0.1%,±0.1,"3,048",±394,0.0%,±0.1,"1,982",±278,0.0%,±0.1,"3,920",±311,0.1%,±0.1,"1,784",±308,0.1%,±0.1,"3,340",±530,0.1%,±0.1,"2,017",±574,0.0%,±0.1,188,±71,0.0%,±0.1,"2,102",±245,0.0%,±0.1,"1,910",±373,0.0%,±0.1,"2,546",±295,0.0%,±0.1,"2,047",±401,0.0%,±0.1,993,±413,0.0%,±0.1,"7,851",±553,0.1%,±0.1,565,±124,0.1%,±0.1,980,±193,0.1%,±0.1,"19,821",±674,0.6%,±0.1,402,±177,0.0%,±0.1,"2,196",±519,0.0%,±0.1,"1,145",±245,0.1%,±0.1,"5,024",±588,0.0%,±0.1,"6,060",±520,0.1%,±0.1,"1,180",±512,0.2%,±0.1,"3,407",±435,0.0%,±0.1,"6,155",±346,0.2%,±0.1,"16,380",±711,0.4%,±0.1,"2,763",±388,0.0%,±0.1,539,±149,0.0%,±0.1,"4,324",±947,0.1%,±0.1,700,±339,0.1%,±0.1,"3,518",±731,0.1%,±0.1,"21,282","±1,103",0.1%,±0.1,"28,407","±1,258",0.9%,±0.1,147,±82,0.0%,±0.1,"4,423",±497,0.1%,±0.1,"49,088","±1,341",0.6%,±0.1,660,±268,0.0%,±0.1,"2,395",±648,0.0%,±0.1,397,±158,0.1%,±0.1,0,±35,0.0%,±0.1
Some other race alone,"12,504","±1,867",0.3%,±0.1,"3,589",±938,0.5%,±0.1,"18,441","±1,532",0.3%,±0.1,"6,267","±1,397",0.2%,±0.1,"149,096","±5,356",0.4%,±0.1,"18,010","±1,749",0.3%,±0.1,"18,819","±1,917",0.5%,±0.1,"3,662","±1,022",0.4%,±0.1,"3,606",±961,0.5%,±0.1,"102,728","±4,791",0.5%,±0.1,"44,958","±4,155",0.4%,±0.1,"3,230",±661,0.2%,±0.1,"6,507","±1,204",0.4%,±0.1,"34,562","±2,182",0.3%,±0.1,"19,449","±1,939",0.3%,±0.1,"5,069",±937,0.2%,±0.1,"6,941","±1,101",0.2%,±0.1,"10,256","±1,478",0.2%,±0.1,"16,965","±2,033",0.4%,±0.1,"3,296",±775,0.2%,±0.1,"27,751","±1,996",0.5%,±0.1,"65,840","±3,267",0.9%,±0.1,"27,336","±2,157",0.3%,±0.1,"17,042","±1,966",0.3%,±0.1,"6,743","±1,196",0.2%,±0.1,"16,775","±1,649",0.3%,±0.1,"2,506",±658,0.2%,±0.1,"3,899",±784,0.2%,±0.1,"13,613","±1,582",0.4%,±0.1,"2,921",±722,0.2%,±0.1,"52,524","±3,045",0.6%,±0.1,"6,663","±1,117",0.3%,±0.1,"140,335","±5,529",0.7%,±0.1,"33,426","±2,839",0.3%,±0.1,"1,591",±566,0.2%,±0.1,"32,171","±2,436",0.3%,±0.1,"9,148","±1,259",0.2%,±0.1,"13,684","±1,593",0.3%,±0.1,"39,283","±3,419",0.3%,±0.1,"8,033","±1,243",0.7%,±0.1,"15,252","±1,863",0.3%,±0.1,"1,393",±451,0.2%,±0.1,"19,258","±1,842",0.3%,±0.1,"72,621","±4,147",0.3%,±0.1,"8,841","±1,173",0.3%,±0.1,"1,208",±238,0.2%,±0.1,"32,689","±2,579",0.4%,±0.1,"29,227","±2,231",0.4%,±0.1,"4,426",±902,0.2%,±0.1,"12,531","±1,836",0.2%,±0.1,"1,582",±545,0.3%,±0.1,"3,800",±659,0.1%,±0.1
Two or more races,"114,853","±3,835",2.3%,±0.1,"60,102","±2,505",8.2%,±0.3,"223,929","±5,058",3.2%,±0.1,"114,930","±4,032",3.8%,±0.1,"1,413,870","±14,196",3.6%,±0.1,"192,511","±3,955",3.4%,±0.1,"105,584","±3,362",2.9%,±0.1,"32,744","±2,084",3.3%,±0.2,"23,632","±1,728",3.5%,±0.3,"576,017","±11,036",2.7%,±0.1,"296,315","±6,471",2.8%,±0.1,"275,435","±4,588",18.9%,±0.3,"55,620","±2,355",3.1%,±0.1,"310,790","±6,332",2.4%,±0.1,"185,158","±4,874",2.7%,±0.1,"83,185","±2,547",2.6%,±0.1,"107,409","±3,092",3.7%,±0.1,"117,508","±3,293",2.6%,±0.1,"119,106","±4,561",2.6%,±0.1,"39,879","±2,173",2.9%,±0.2,"221,931","±5,855",3.6%,±0.1,"234,639","±5,262",3.4%,±0.1,"333,683","±6,629",3.3%,±0.1,"190,428","±4,306",3.4%,±0.1,"51,848","±2,688",1.7%,±0.1,"217,070","±4,743",3.5%,±0.1,"36,931","±1,564",3.4%,±0.1,"54,035","±1,956",2.8%,±0.1,"139,807","±4,864",4.6%,±0.2,"35,768","±1,729",2.6%,±0.1,"225,620","±5,130",2.4%,±0.1,"45,879","±2,868",2.2%,±0.1,"543,743","±8,337",2.7%,±0.1,"305,309","±6,901",2.9%,±0.1,"22,557","±1,445",2.9%,±0.2,"382,625","±7,102",3.3%,±0.1,"304,600","±4,232",7.7%,±0.1,"199,187","±3,823",4.7%,±0.1,"343,801","±5,794",2.7%,±0.1,"34,680","±2,335",3.2%,±0.2,"133,344","±4,296",2.6%,±0.1,"27,661","±1,746",3.1%,±0.2,"182,564","±4,204",2.7%,±0.1,"652,631","±11,647",2.3%,±0.1,"95,444","±3,231",3.0%,±0.1,"17,914","±1,085",2.8%,±0.2,"315,476","±5,946",3.7%,±0.1,"438,682","±6,525",5.8%,±0.1,"46,837","±1,801",2.6%,±0.1,"157,130","±4,121",2.7%,±0.1,"15,921","±1,098",2.8%,±0.2,"2,561",±499,0.1%,±0.1
Two races including Some other race,"12,446","±1,289",0.2%,±0.1,"3,352",±831,0.5%,±0.1,"25,540","±2,044",0.4%,±0.1,"33,201","±3,288",1.1%,±0.1,"146,794","±4,451",0.4%,±0.1,"32,189","±2,746",0.6%,±0.1,"23,005","±1,970",0.6%,±0.1,"3,397",±732,0.3%,±0.1,"3,155",±972,0.5%,±0.1,"120,318","±6,461",0.6%,±0.1,"37,953","±3,419",0.4%,±0.1,"3,662",±633,0.3%,±0.1,"11,458","±1,925",0.6%,±0.1,"42,791","±2,549",0.3%,±0.1,"20,447","±1,768",0.3%,±0.1,"12,570","±1,382",0.4%,±0.1,"9,899","±1,346",0.3%,±0.1,"11,790","±1,577",0.3%,±0.1,"15,162","±1,950",0.3%,±0.1,"9,778","±1,777",0.7%,±0.1,"28,181","±2,714",0.5%,±0.1,"74,257","±4,160",1.1%,±0.1,"47,456","±2,525",0.5%,±0.1,"22,168","±1,844",0.4%,±0.1,"5,151","±1,117",0.2%,±0.1,"46,229","±3,053",0.8%,±0.1,"5,728",±897,0.5%,±0.1,"5,420",±687,0.3%,±0.1,"17,122","±2,140",0.6%,±0.1,"7,912","±1,344",0.6%,±0.1,"49,948","±2,622",0.5%,±0.1,"6,332","±1,407",0.3%,±0.1,"126,787","±4,474",0.6%,±0.1,"30,441","±2,407",0.3%,±0.1,"2,912",±702,0.4%,±0.1,"44,709","±3,090",0.4%,±0.1,"12,453","±1,645",0.3%,±0.1,"26,700","±1,874",0.6%,±0.1,"54,750","±2,993",0.4%,±0.1,"9,229","±1,357",0.8%,±0.1,"12,780","±1,607",0.3%,±0.1,"2,839",±599,0.3%,±0.1,"25,706","±2,388",0.4%,±0.1,"81,120","±3,562",0.3%,±0.1,"11,817","±1,523",0.4%,±0.1,"3,322",±522,0.5%,±0.1,"30,671","±2,617",0.4%,±0.1,"42,065","±2,690",0.6%,±0.1,"9,563","±1,315",0.5%,±0.1,"21,262","±1,918",0.4%,±0.1,"2,630",±733,0.5%,±0.1,622,±282,0.0%,±0.1
"Two races excluding Some other race, and Three or more races","102,407","±3,489",2.0%,±0.1,"56,750","±2,279",7.7%,±0.3,"198,389","±4,936",2.8%,±0.1,"81,729","±2,176",2.7%,±0.1,"1,267,076","±12,631",3.2%,±0.1,"160,322","±3,327",2.8%,±0.1,"82,579","±2,852",2.3%,±0.1,"29,347","±2,010",3.0%,±0.2,"20,477","±1,641",3.0%,±0.2,"455,699","±9,420",2.1%,±0.1,"258,362","±5,657",2.4%,±0.1,"271,773","±4,619",18.7%,±0.3,"44,162","±1,699",2.4%,±0.1,"267,999","±5,725",2.1%,±0.1,"164,711","±4,561",2.4%,±0.1,"70,615","±2,312",2.2%,±0.1,"97,510","±2,731",3.3%,±0.1,"105,718","±2,601",2.4%,±0.1,"103,944","±3,904",2.2%,±0.1,"30,101","±1,277",2.2%,±0.1,"193,750","±5,335",3.2%,±0.1,"160,382","±4,244",2.3%,±0.1,"286,227","±5,683",2.8%,±0.1,"168,260","±4,305",3.0%,±0.1,"46,697","±2,620",1.6%,±0.1,"170,841","±3,641",2.8%,±0.1,"31,203","±1,299",2.9%,±0.1,"48,615","±1,799",2.5%,±0.1,"122,685","±4,296",4.0%,±0.1,"27,856","±1,242",2.0%,±0.1,"175,672","±4,539",1.9%,±0.1,"39,547","±2,231",1.9%,±0.1,"416,956","±7,486",2.1%,±0.1,"274,868","±6,112",2.7%,±0.1,"19,645","±1,290",2.5%,±0.2,"337,916","±6,236",2.9%,±0.1,"292,147","±4,033",7.4%,±0.1,"172,487","±3,106",4.1%,±0.1,"289,051","±5,030",2.2%,±0.1,"25,451","±1,897",2.3%,±0.2,"120,564","±4,096",2.4%,±0.1,"24,822","±1,664",2.8%,±0.2,"156,858","±3,635",2.3%,±0.1,"571,511","±11,170",2.0%,±0.1,"83,627","±2,763",2.6%,±0.1,"14,592",±862,2.3%,±0.1,"284,805","±5,259",3.3%,±0.1,"396,617","±6,229",5.2%,±0.1,"37,274","±1,341",2.1%,±0.1,"135,868","±3,404",2.3%,±0.1,"13,291",±800,2.3%,±0.1,"1,939",±433,0.1%,±0.1
Total housing units,"2,278,526",±560,(X),(X),"324,434",±467,(X),(X),"3,056,890",±502,(X),(X),"1,361,880",±557,(X),(X),"14,328,539","±1,595",(X),(X),"2,454,873",±585,(X),(X),"1,527,039",±305,(X),(X),"445,104",±284,(X),(X),"344,306",±143,(X),(X),"9,764,897",±709,(X),(X),"4,375,039",±595,(X),(X),"556,937",±185,(X),(X),"742,145",±313,(X),(X),"5,412,995",±995,(X),(X),"2,911,562",±380,(X),(X),"1,407,100",±583,(X),(X),"1,272,290",±545,(X),(X),"1,988,420",±335,(X),(X),"2,066,323",±946,(X),(X),"737,782",±236,(X),(X),"2,516,341",±397,(X),(X),"2,979,634",±699,(X),(X),"4,566,504",±811,(X),(X),"2,470,483",±651,(X),(X),"1,317,375",±836,(X),(X),"2,782,081",±732,(X),(X),"512,553","±1,499",(X),(X),"840,802",±576,(X),(X),"1,269,846",±328,(X),(X),"636,480",±184,(X),(X),"3,738,342",±433,(X),(X),"937,397",±274,(X),(X),"8,449,178","±1,485",(X),(X),"4,673,933",±548,(X),(X),"370,111",±202,(X),(X),"5,232,733",±606,(X),(X),"1,741,721",±373,(X),(X),"1,798,864",±314,(X),(X),"5,728,788",±563,(X),(X),"481,168",±223,(X),(X),"2,325,248","±1,084",(X),(X),"391,857",±207,(X),(X),"3,011,124",±658,(X),(X),"11,433,880","±1,306",(X),(X),"1,133,558",±301,(X),(X),"333,519",±182,(X),(X),"3,596,100",±557,(X),(X),"3,170,695",±762,(X),(X),"859,437",±246,(X),(X),"2,718,369","±1,026",(X),(X),"271,818",±209,(X),(X),"1,553,791","±2,504",(X),(X)
"CITIZEN, VOTING AGE POPULATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
